======================================================================
			Matrix 74181.020
======================================================================
1472  mhs trovati:

Card. minima degli mhs: 3
Card. massima degli mhs: 5
----------------------------------------------------------------------
Dimensione iniziale della matrice: (12, 65)
Dimensione finale della matrice: (11, 38)

Colonne eliminate: ['1(z1)', '2(z2)', '3(z3)', '8(z8)', '9(z9)', '12(z12)', '13(z13)', '14(z14)', '16(z16)', '17(z17)', '19(z19)', '20(z20)', '21(z21)', '22(z22)', '24(z24)', '25(z25)', '30(z30)', '32(z32)', '49(z48)', '50(z49)', '51(z50)', '52(z51)', '53(z52)', '59(z57)', '63(o6)', '64(o7)', '65(o8)']
Righe eliminate: [10]
----------------------------------------------------------------------
Execution time: 36.60646033287048 seconds
Pre elaboration time: 0.0 seconds
Used memory:  66.37109375  Megabyte
----------------------------------------------------------------------
Lista degli mhs trovati: 

6(z6),38(z38),39(o1)
6(z6),39(o1),55(z53)
6(z6),39(o1),56(z54)
6(z6),39(o1),60(o3)
7(z7),38(z38),39(o1)
7(z7),39(o1),55(z53)
7(z7),39(o1),56(z54)
7(z7),39(o1),60(o3)
26(z26),38(z38),39(o1)
26(z26),39(o1),55(z53)
26(z26),39(o1),56(z54)
26(z26),39(o1),60(o3)
38(z38),39(o1),40(z39)
38(z38),39(o1),41(z40)
38(z38),39(o1),42(z41)
38(z38),39(o1),43(z42)
38(z38),39(o1),44(z43)
38(z38),39(o1),57(z55)
38(z38),39(o1),61(o4)
39(o1),40(z39),55(z53)
39(o1),40(z39),56(z54)
39(o1),40(z39),60(o3)
39(o1),41(z40),55(z53)
39(o1),41(z40),56(z54)
39(o1),41(z40),60(o3)
39(o1),42(z41),55(z53)
39(o1),42(z41),56(z54)
39(o1),42(z41),60(o3)
39(o1),43(z42),55(z53)
39(o1),43(z42),56(z54)
39(o1),43(z42),60(o3)
39(o1),44(z43),55(z53)
39(o1),44(z43),56(z54)
39(o1),44(z43),60(o3)
39(o1),55(z53),57(z55)
39(o1),55(z53),61(o4)
39(o1),56(z54),57(z55)
39(o1),56(z54),61(o4)
39(o1),57(z55),60(o3)
39(o1),60(o3),61(o4)
11(z11),15(z15),31(z31),60(o3)
11(z11),15(z15),33(z33),38(z38)
11(z11),15(z15),33(z33),55(z53)
11(z11),15(z15),33(z33),56(z54)
11(z11),15(z15),33(z33),60(o3)
11(z11),15(z15),35(z35),38(z38)
11(z11),15(z15),35(z35),55(z53)
11(z11),15(z15),35(z35),56(z54)
11(z11),15(z15),35(z35),60(o3)
11(z11),15(z15),38(z38),39(o1)
11(z11),15(z15),38(z38),54(o2)
11(z11),15(z15),39(o1),55(z53)
11(z11),15(z15),39(o1),56(z54)
11(z11),15(z15),39(o1),60(o3)
11(z11),15(z15),54(o2),55(z53)
11(z11),15(z15),54(o2),56(z54)
11(z11),15(z15),54(o2),60(o3)
11(z11),18(z18),29(z29),38(z38)
11(z11),18(z18),29(z29),55(z53)
11(z11),18(z18),29(z29),56(z54)
11(z11),18(z18),29(z29),60(o3)
11(z11),18(z18),34(z34),38(z38)
11(z11),18(z18),34(z34),55(z53)
11(z11),18(z18),34(z34),56(z54)
11(z11),18(z18),34(z34),60(o3)
11(z11),18(z18),36(z36),38(z38)
11(z11),18(z18),36(z36),55(z53)
11(z11),18(z18),36(z36),56(z54)
11(z11),18(z18),36(z36),60(o3)
11(z11),18(z18),37(z37),38(z38)
11(z11),18(z18),37(z37),55(z53)
11(z11),18(z18),37(z37),56(z54)
11(z11),18(z18),37(z37),60(o3)
11(z11),18(z18),38(z38),39(o1)
11(z11),18(z18),38(z38),40(z39)
11(z11),18(z18),38(z38),41(z40)
11(z11),18(z18),38(z38),42(z41)
11(z11),18(z18),38(z38),43(z42)
11(z11),18(z18),38(z38),44(z43)
11(z11),18(z18),38(z38),54(o2)
11(z11),18(z18),38(z38),57(z55)
11(z11),18(z18),38(z38),61(o4)
11(z11),18(z18),39(o1),55(z53)
11(z11),18(z18),39(o1),56(z54)
11(z11),18(z18),39(o1),60(o3)
11(z11),18(z18),40(z39),55(z53)
11(z11),18(z18),40(z39),56(z54)
11(z11),18(z18),40(z39),60(o3)
11(z11),18(z18),41(z40),55(z53)
11(z11),18(z18),41(z40),56(z54)
11(z11),18(z18),41(z40),60(o3)
11(z11),18(z18),42(z41),55(z53)
11(z11),18(z18),42(z41),56(z54)
11(z11),18(z18),42(z41),60(o3)
11(z11),18(z18),43(z42),55(z53)
11(z11),18(z18),43(z42),56(z54)
11(z11),18(z18),43(z42),60(o3)
11(z11),18(z18),44(z43),55(z53)
11(z11),18(z18),44(z43),56(z54)
11(z11),18(z18),44(z43),60(o3)
11(z11),18(z18),54(o2),55(z53)
11(z11),18(z18),54(o2),56(z54)
11(z11),18(z18),54(o2),60(o3)
11(z11),18(z18),55(z53),57(z55)
11(z11),18(z18),55(z53),61(o4)
11(z11),18(z18),56(z54),57(z55)
11(z11),18(z18),56(z54),61(o4)
11(z11),18(z18),57(z55),60(o3)
11(z11),18(z18),60(o3),61(o4)
11(z11),23(z23),29(z29),38(z38)
11(z11),23(z23),29(z29),55(z53)
11(z11),23(z23),29(z29),56(z54)
11(z11),23(z23),29(z29),60(o3)
11(z11),23(z23),34(z34),38(z38)
11(z11),23(z23),34(z34),55(z53)
11(z11),23(z23),34(z34),56(z54)
11(z11),23(z23),34(z34),60(o3)
11(z11),23(z23),37(z37),38(z38)
11(z11),23(z23),37(z37),55(z53)
11(z11),23(z23),37(z37),56(z54)
11(z11),23(z23),37(z37),60(o3)
11(z11),23(z23),38(z38),39(o1)
11(z11),23(z23),38(z38),40(z39)
11(z11),23(z23),38(z38),41(z40)
11(z11),23(z23),38(z38),42(z41)
11(z11),23(z23),38(z38),43(z42)
11(z11),23(z23),38(z38),44(z43)
11(z11),23(z23),38(z38),54(o2)
11(z11),23(z23),38(z38),57(z55)
11(z11),23(z23),38(z38),61(o4)
11(z11),23(z23),39(o1),55(z53)
11(z11),23(z23),39(o1),56(z54)
11(z11),23(z23),39(o1),60(o3)
11(z11),23(z23),40(z39),55(z53)
11(z11),23(z23),40(z39),56(z54)
11(z11),23(z23),40(z39),60(o3)
11(z11),23(z23),41(z40),55(z53)
11(z11),23(z23),41(z40),56(z54)
11(z11),23(z23),41(z40),60(o3)
11(z11),23(z23),42(z41),55(z53)
11(z11),23(z23),42(z41),56(z54)
11(z11),23(z23),42(z41),60(o3)
11(z11),23(z23),43(z42),55(z53)
11(z11),23(z23),43(z42),56(z54)
11(z11),23(z23),43(z42),60(o3)
11(z11),23(z23),44(z43),55(z53)
11(z11),23(z23),44(z43),56(z54)
11(z11),23(z23),44(z43),60(o3)
11(z11),23(z23),54(o2),55(z53)
11(z11),23(z23),54(o2),56(z54)
11(z11),23(z23),54(o2),60(o3)
11(z11),23(z23),55(z53),57(z55)
11(z11),23(z23),55(z53),61(o4)
11(z11),23(z23),56(z54),57(z55)
11(z11),23(z23),56(z54),61(o4)
11(z11),23(z23),57(z55),60(o3)
11(z11),23(z23),60(o3),61(o4)
11(z11),27(z27),38(z38),39(o1)
11(z11),27(z27),38(z38),54(o2)
11(z11),27(z27),39(o1),55(z53)
11(z11),27(z27),39(o1),56(z54)
11(z11),27(z27),39(o1),60(o3)
11(z11),27(z27),54(o2),55(z53)
11(z11),27(z27),54(o2),56(z54)
11(z11),27(z27),54(o2),60(o3)
11(z11),29(z29),31(z31),38(z38)
11(z11),29(z29),31(z31),55(z53)
11(z11),29(z29),31(z31),56(z54)
11(z11),29(z29),31(z31),60(o3)
11(z11),29(z29),33(z33),38(z38)
11(z11),29(z29),33(z33),55(z53)
11(z11),29(z29),33(z33),56(z54)
11(z11),29(z29),33(z33),60(o3)
11(z11),29(z29),35(z35),38(z38)
11(z11),29(z29),35(z35),55(z53)
11(z11),29(z29),35(z35),56(z54)
11(z11),29(z29),35(z35),60(o3)
11(z11),29(z29),38(z38),39(o1)
11(z11),29(z29),38(z38),54(o2)
11(z11),29(z29),39(o1),55(z53)
11(z11),29(z29),39(o1),56(z54)
11(z11),29(z29),39(o1),60(o3)
11(z11),29(z29),54(o2),55(z53)
11(z11),29(z29),54(o2),56(z54)
11(z11),29(z29),54(o2),60(o3)
11(z11),31(z31),34(z34),38(z38)
11(z11),31(z31),34(z34),55(z53)
11(z11),31(z31),34(z34),56(z54)
11(z11),31(z31),34(z34),60(o3)
11(z11),31(z31),36(z36),38(z38)
11(z11),31(z31),36(z36),55(z53)
11(z11),31(z31),36(z36),56(z54)
11(z11),31(z31),36(z36),60(o3)
11(z11),31(z31),37(z37),38(z38)
11(z11),31(z31),37(z37),55(z53)
11(z11),31(z31),37(z37),56(z54)
11(z11),31(z31),37(z37),60(o3)
11(z11),31(z31),38(z38),39(o1)
11(z11),31(z31),38(z38),40(z39)
11(z11),31(z31),38(z38),41(z40)
11(z11),31(z31),38(z38),42(z41)
11(z11),31(z31),38(z38),43(z42)
11(z11),31(z31),38(z38),44(z43)
11(z11),31(z31),38(z38),54(o2)
11(z11),31(z31),38(z38),57(z55)
11(z11),31(z31),38(z38),61(o4)
11(z11),31(z31),39(o1),55(z53)
11(z11),31(z31),39(o1),56(z54)
11(z11),31(z31),39(o1),60(o3)
11(z11),31(z31),40(z39),55(z53)
11(z11),31(z31),40(z39),56(z54)
11(z11),31(z31),40(z39),60(o3)
11(z11),31(z31),41(z40),55(z53)
11(z11),31(z31),41(z40),56(z54)
11(z11),31(z31),41(z40),60(o3)
11(z11),31(z31),42(z41),55(z53)
11(z11),31(z31),42(z41),56(z54)
11(z11),31(z31),42(z41),60(o3)
11(z11),31(z31),43(z42),55(z53)
11(z11),31(z31),43(z42),56(z54)
11(z11),31(z31),43(z42),60(o3)
11(z11),31(z31),44(z43),55(z53)
11(z11),31(z31),44(z43),56(z54)
11(z11),31(z31),44(z43),60(o3)
11(z11),31(z31),54(o2),55(z53)
11(z11),31(z31),54(o2),56(z54)
11(z11),31(z31),54(o2),60(o3)
11(z11),31(z31),55(z53),57(z55)
11(z11),31(z31),55(z53),61(o4)
11(z11),31(z31),56(z54),57(z55)
11(z11),31(z31),56(z54),61(o4)
11(z11),31(z31),57(z55),60(o3)
11(z11),31(z31),60(o3),61(o4)
11(z11),33(z33),34(z34),38(z38)
11(z11),33(z33),34(z34),55(z53)
11(z11),33(z33),34(z34),56(z54)
11(z11),33(z33),34(z34),60(o3)
11(z11),33(z33),37(z37),38(z38)
11(z11),33(z33),37(z37),55(z53)
11(z11),33(z33),37(z37),56(z54)
11(z11),33(z33),37(z37),60(o3)
11(z11),33(z33),38(z38),39(o1)
11(z11),33(z33),38(z38),40(z39)
11(z11),33(z33),38(z38),41(z40)
11(z11),33(z33),38(z38),42(z41)
11(z11),33(z33),38(z38),43(z42)
11(z11),33(z33),38(z38),44(z43)
11(z11),33(z33),38(z38),54(o2)
11(z11),33(z33),38(z38),57(z55)
11(z11),33(z33),38(z38),61(o4)
11(z11),33(z33),39(o1),55(z53)
11(z11),33(z33),39(o1),56(z54)
11(z11),33(z33),39(o1),60(o3)
11(z11),33(z33),40(z39),55(z53)
11(z11),33(z33),40(z39),56(z54)
11(z11),33(z33),40(z39),60(o3)
11(z11),33(z33),41(z40),55(z53)
11(z11),33(z33),41(z40),56(z54)
11(z11),33(z33),41(z40),60(o3)
11(z11),33(z33),42(z41),55(z53)
11(z11),33(z33),42(z41),56(z54)
11(z11),33(z33),42(z41),60(o3)
11(z11),33(z33),43(z42),55(z53)
11(z11),33(z33),43(z42),56(z54)
11(z11),33(z33),43(z42),60(o3)
11(z11),33(z33),44(z43),55(z53)
11(z11),33(z33),44(z43),56(z54)
11(z11),33(z33),44(z43),60(o3)
11(z11),33(z33),54(o2),55(z53)
11(z11),33(z33),54(o2),56(z54)
11(z11),33(z33),54(o2),60(o3)
11(z11),33(z33),55(z53),57(z55)
11(z11),33(z33),55(z53),61(o4)
11(z11),33(z33),56(z54),57(z55)
11(z11),33(z33),56(z54),61(o4)
11(z11),33(z33),57(z55),60(o3)
11(z11),33(z33),60(o3),61(o4)
11(z11),35(z35),38(z38),40(z39)
11(z11),35(z35),38(z38),41(z40)
11(z11),35(z35),38(z38),42(z41)
11(z11),35(z35),38(z38),43(z42)
11(z11),35(z35),38(z38),44(z43)
11(z11),35(z35),38(z38),57(z55)
11(z11),35(z35),38(z38),61(o4)
11(z11),35(z35),40(z39),55(z53)
11(z11),35(z35),40(z39),56(z54)
11(z11),35(z35),40(z39),60(o3)
11(z11),35(z35),41(z40),55(z53)
11(z11),35(z35),41(z40),56(z54)
11(z11),35(z35),41(z40),60(o3)
11(z11),35(z35),42(z41),55(z53)
11(z11),35(z35),42(z41),56(z54)
11(z11),35(z35),42(z41),60(o3)
11(z11),35(z35),43(z42),55(z53)
11(z11),35(z35),43(z42),56(z54)
11(z11),35(z35),43(z42),60(o3)
11(z11),35(z35),44(z43),55(z53)
11(z11),35(z35),44(z43),56(z54)
11(z11),35(z35),44(z43),60(o3)
11(z11),35(z35),55(z53),57(z55)
11(z11),35(z35),55(z53),61(o4)
11(z11),35(z35),56(z54),57(z55)
11(z11),35(z35),56(z54),61(o4)
11(z11),35(z35),57(z55),60(o3)
11(z11),35(z35),60(o3),61(o4)
11(z11),38(z38),40(z39),45(z44)
11(z11),38(z38),40(z39),46(z45)
11(z11),38(z38),40(z39),47(z46)
11(z11),38(z38),40(z39),48(z47)
11(z11),38(z38),40(z39),54(o2)
11(z11),38(z38),40(z39),58(z56)
11(z11),38(z38),40(z39),62(o5)
11(z11),38(z38),41(z40),45(z44)
11(z11),38(z38),41(z40),46(z45)
11(z11),38(z38),41(z40),47(z46)
11(z11),38(z38),41(z40),48(z47)
11(z11),38(z38),41(z40),54(o2)
11(z11),38(z38),41(z40),58(z56)
11(z11),38(z38),41(z40),62(o5)
11(z11),38(z38),42(z41),45(z44)
11(z11),38(z38),42(z41),46(z45)
11(z11),38(z38),42(z41),47(z46)
11(z11),38(z38),42(z41),48(z47)
11(z11),38(z38),42(z41),54(o2)
11(z11),38(z38),42(z41),58(z56)
11(z11),38(z38),42(z41),62(o5)
11(z11),38(z38),43(z42),45(z44)
11(z11),38(z38),43(z42),46(z45)
11(z11),38(z38),43(z42),47(z46)
11(z11),38(z38),43(z42),48(z47)
11(z11),38(z38),43(z42),54(o2)
11(z11),38(z38),43(z42),58(z56)
11(z11),38(z38),43(z42),62(o5)
11(z11),38(z38),44(z43),45(z44)
11(z11),38(z38),44(z43),46(z45)
11(z11),38(z38),44(z43),47(z46)
11(z11),38(z38),44(z43),48(z47)
11(z11),38(z38),44(z43),54(o2)
11(z11),38(z38),44(z43),58(z56)
11(z11),38(z38),44(z43),62(o5)
11(z11),38(z38),45(z44),57(z55)
11(z11),38(z38),45(z44),61(o4)
11(z11),38(z38),46(z45),57(z55)
11(z11),38(z38),46(z45),61(o4)
11(z11),38(z38),47(z46),57(z55)
11(z11),38(z38),47(z46),61(o4)
11(z11),38(z38),48(z47),57(z55)
11(z11),38(z38),48(z47),61(o4)
11(z11),38(z38),54(o2),57(z55)
11(z11),38(z38),54(o2),61(o4)
