======================================================================
			Matrix c1355.039
======================================================================
ATTENZIONE: L'esecuzione ha superato il limite di tempo 
======================================================================
8709  mhs trovati:

Card. minima degli mhs: 2
Card. massima degli mhs: 3

Card. massima analizzata: 3
----------------------------------------------------------------------
Dimensione iniziale della matrice: (5, 546)
Dimensione finale della matrice: (5, 546)

Colonne eliminate: []
Righe eliminate: []
----------------------------------------------------------------------
Execution time: 300.140319108963 seconds
Pre elaboration time: -1 seconds
Used memory:  132.21484375  Megabyte
----------------------------------------------------------------------
Lista degli mhs trovati: 

362(z362),382(z382)
362(z362),414(z414)
362(z362),473(z473)
362(z362),510(z510)
362(z362),542(o28)
382(z382),433(z433)
382(z382),434(z434)
382(z382),490(z490)
382(z382),522(o8)
414(z414),433(z433)
414(z414),434(z434)
414(z414),490(z490)
414(z414),522(o8)
433(z433),473(z473)
433(z433),510(z510)
433(z433),542(o28)
434(z434),473(z473)
434(z434),510(z510)
434(z434),542(o28)
473(z473),490(z490)
473(z473),522(o8)
490(z490),510(z510)
490(z490),542(o28)
510(z510),522(o8)
522(o8),542(o28)
4(z4),41(z41),240(z240)
4(z4),41(z41),256(z256)
4(z4),41(z41),264(z264)
4(z4),41(z41),272(z272)
4(z4),41(z41),287(z287)
4(z4),41(z41),288(z288)
4(z4),41(z41),294(z294)
4(z4),41(z41),382(z382)
4(z4),41(z41),414(z414)
4(z4),41(z41),473(z473)
4(z4),41(z41),510(z510)
4(z4),41(z41),542(o28)
4(z4),42(z42),46(z46)
4(z4),42(z42),47(z47)
4(z4),42(z42),53(z53)
4(z4),42(z42),54(z54)
4(z4),42(z42),55(z55)
4(z4),42(z42),101(z101)
4(z4),42(z42),102(z102)
4(z4),42(z42),103(z103)
4(z4),42(z42),107(z107)
4(z4),42(z42),108(z108)
4(z4),42(z42),111(z111)
4(z4),42(z42),112(z112)
4(z4),42(z42),135(z135)
4(z4),42(z42),136(z136)
4(z4),42(z42),138(z138)
4(z4),42(z42),140(z140)
4(z4),42(z42),152(z152)
4(z4),42(z42),155(z155)
4(z4),42(z42),156(z156)
4(z4),42(z42),160(z160)
4(z4),42(z42),184(z184)
4(z4),42(z42),186(z186)
4(z4),42(z42),188(z188)
4(z4),42(z42),200(z200)
4(z4),42(z42),204(z204)
4(z4),42(z42),216(z216)
4(z4),42(z42),228(z228)
4(z4),42(z42),240(z240)
4(z4),42(z42),256(z256)
4(z4),42(z42),264(z264)
4(z4),42(z42),272(z272)
4(z4),42(z42),287(z287)
4(z4),42(z42),288(z288)
4(z4),42(z42),294(z294)
4(z4),42(z42),382(z382)
4(z4),42(z42),414(z414)
4(z4),42(z42),473(z473)
4(z4),42(z42),510(z510)
4(z4),42(z42),542(o28)
4(z4),43(z43),46(z46)
4(z4),43(z43),47(z47)
4(z4),43(z43),53(z53)
4(z4),43(z43),54(z54)
4(z4),43(z43),55(z55)
4(z4),43(z43),101(z101)
4(z4),43(z43),102(z102)
4(z4),43(z43),103(z103)
4(z4),43(z43),107(z107)
4(z4),43(z43),108(z108)
4(z4),43(z43),111(z111)
4(z4),43(z43),112(z112)
4(z4),43(z43),135(z135)
4(z4),43(z43),136(z136)
4(z4),43(z43),138(z138)
4(z4),43(z43),140(z140)
4(z4),43(z43),152(z152)
4(z4),43(z43),155(z155)
4(z4),43(z43),156(z156)
4(z4),43(z43),160(z160)
4(z4),43(z43),184(z184)
4(z4),43(z43),186(z186)
4(z4),43(z43),188(z188)
4(z4),43(z43),200(z200)
4(z4),43(z43),204(z204)
4(z4),43(z43),216(z216)
4(z4),43(z43),228(z228)
4(z4),43(z43),240(z240)
4(z4),43(z43),256(z256)
4(z4),43(z43),264(z264)
4(z4),43(z43),272(z272)
4(z4),43(z43),287(z287)
4(z4),43(z43),288(z288)
4(z4),43(z43),294(z294)
4(z4),43(z43),382(z382)
4(z4),43(z43),414(z414)
4(z4),43(z43),473(z473)
4(z4),43(z43),510(z510)
4(z4),43(z43),542(o28)
4(z4),44(z44),46(z46)
4(z4),44(z44),47(z47)
4(z4),44(z44),53(z53)
4(z4),44(z44),54(z54)
4(z4),44(z44),55(z55)
4(z4),44(z44),101(z101)
4(z4),44(z44),102(z102)
4(z4),44(z44),103(z103)
4(z4),44(z44),107(z107)
4(z4),44(z44),108(z108)
4(z4),44(z44),111(z111)
4(z4),44(z44),112(z112)
4(z4),44(z44),135(z135)
4(z4),44(z44),136(z136)
4(z4),44(z44),138(z138)
4(z4),44(z44),140(z140)
4(z4),44(z44),152(z152)
4(z4),44(z44),155(z155)
4(z4),44(z44),156(z156)
4(z4),44(z44),160(z160)
4(z4),44(z44),184(z184)
4(z4),44(z44),186(z186)
4(z4),44(z44),188(z188)
4(z4),44(z44),200(z200)
4(z4),44(z44),204(z204)
4(z4),44(z44),216(z216)
4(z4),44(z44),228(z228)
4(z4),44(z44),240(z240)
4(z4),44(z44),256(z256)
4(z4),44(z44),264(z264)
4(z4),44(z44),272(z272)
4(z4),44(z44),287(z287)
4(z4),44(z44),288(z288)
4(z4),44(z44),294(z294)
4(z4),44(z44),382(z382)
4(z4),44(z44),414(z414)
4(z4),44(z44),473(z473)
4(z4),44(z44),510(z510)
4(z4),44(z44),542(o28)
4(z4),46(z46),50(z50)
4(z4),46(z46),51(z51)
4(z4),46(z46),52(z52)
4(z4),46(z46),97(z97)
4(z4),46(z46),98(z98)
4(z4),46(z46),99(z99)
4(z4),46(z46),100(z100)
4(z4),46(z46),105(z105)
4(z4),46(z46),106(z106)
4(z4),46(z46),109(z109)
4(z4),46(z46),110(z110)
4(z4),46(z46),133(z133)
4(z4),46(z46),134(z134)
4(z4),46(z46),139(z139)
4(z4),46(z46),153(z153)
4(z4),46(z46),154(z154)
4(z4),46(z46),157(z157)
4(z4),46(z46),181(z181)
4(z4),46(z46),182(z182)
4(z4),46(z46),185(z185)
4(z4),46(z46),187(z187)
4(z4),46(z46),199(z199)
4(z4),46(z46),203(z203)
4(z4),46(z46),214(z214)
4(z4),46(z46),227(z227)
4(z4),46(z46),239(z239)
4(z4),46(z46),254(z254)
4(z4),46(z46),263(z263)
4(z4),46(z46),271(z271)
4(z4),46(z46),286(z286)
4(z4),46(z46),295(z295)
4(z4),47(z47),50(z50)
4(z4),47(z47),51(z51)
4(z4),47(z47),52(z52)
4(z4),47(z47),97(z97)
4(z4),47(z47),98(z98)
4(z4),47(z47),99(z99)
4(z4),47(z47),100(z100)
4(z4),47(z47),105(z105)
4(z4),47(z47),106(z106)
4(z4),47(z47),109(z109)
4(z4),47(z47),110(z110)
4(z4),47(z47),133(z133)
4(z4),47(z47),134(z134)
4(z4),47(z47),139(z139)
4(z4),47(z47),153(z153)
4(z4),47(z47),154(z154)
4(z4),47(z47),157(z157)
4(z4),47(z47),181(z181)
4(z4),47(z47),182(z182)
4(z4),47(z47),185(z185)
4(z4),47(z47),187(z187)
4(z4),47(z47),199(z199)
4(z4),47(z47),203(z203)
4(z4),47(z47),214(z214)
4(z4),47(z47),227(z227)
4(z4),47(z47),239(z239)
4(z4),47(z47),254(z254)
4(z4),47(z47),263(z263)
4(z4),47(z47),271(z271)
4(z4),47(z47),286(z286)
4(z4),47(z47),295(z295)
4(z4),50(z50),107(z107)
4(z4),50(z50),108(z108)
4(z4),50(z50),138(z138)
4(z4),50(z50),155(z155)
4(z4),50(z50),156(z156)
4(z4),50(z50),186(z186)
4(z4),50(z50),382(z382)
4(z4),50(z50),414(z414)
4(z4),50(z50),473(z473)
4(z4),50(z50),510(z510)
4(z4),50(z50),542(o28)
4(z4),51(z51),107(z107)
4(z4),51(z51),108(z108)
4(z4),51(z51),138(z138)
4(z4),51(z51),155(z155)
4(z4),51(z51),156(z156)
4(z4),51(z51),186(z186)
4(z4),51(z51),382(z382)
4(z4),51(z51),414(z414)
4(z4),51(z51),473(z473)
4(z4),51(z51),510(z510)
4(z4),51(z51),542(o28)
4(z4),52(z52),107(z107)
4(z4),52(z52),108(z108)
4(z4),52(z52),138(z138)
4(z4),52(z52),155(z155)
4(z4),52(z52),156(z156)
4(z4),52(z52),186(z186)
4(z4),52(z52),382(z382)
4(z4),52(z52),414(z414)
4(z4),52(z52),473(z473)
4(z4),52(z52),510(z510)
4(z4),52(z52),542(o28)
4(z4),53(z53),105(z105)
4(z4),53(z53),106(z106)
4(z4),53(z53),153(z153)
4(z4),53(z53),154(z154)
4(z4),53(z53),185(z185)
4(z4),54(z54),105(z105)
4(z4),54(z54),106(z106)
4(z4),54(z54),153(z153)
4(z4),54(z54),154(z154)
4(z4),54(z54),185(z185)
4(z4),55(z55),105(z105)
4(z4),55(z55),106(z106)
4(z4),55(z55),153(z153)
4(z4),55(z55),154(z154)
4(z4),55(z55),185(z185)
4(z4),97(z97),107(z107)
4(z4),97(z97),108(z108)
4(z4),97(z97),138(z138)
4(z4),97(z97),155(z155)
4(z4),97(z97),156(z156)
4(z4),97(z97),186(z186)
4(z4),97(z97),382(z382)
4(z4),97(z97),414(z414)
4(z4),97(z97),473(z473)
4(z4),97(z97),510(z510)
4(z4),97(z97),542(o28)
4(z4),98(z98),107(z107)
4(z4),98(z98),108(z108)
4(z4),98(z98),138(z138)
4(z4),98(z98),155(z155)
4(z4),98(z98),156(z156)
4(z4),98(z98),186(z186)
4(z4),98(z98),382(z382)
4(z4),98(z98),414(z414)
4(z4),98(z98),473(z473)
4(z4),98(z98),510(z510)
4(z4),98(z98),542(o28)
4(z4),99(z99),107(z107)
4(z4),99(z99),108(z108)
4(z4),99(z99),138(z138)
4(z4),99(z99),155(z155)
4(z4),99(z99),156(z156)
4(z4),99(z99),186(z186)
4(z4),99(z99),382(z382)
4(z4),99(z99),414(z414)
4(z4),99(z99),473(z473)
4(z4),99(z99),510(z510)
4(z4),99(z99),542(o28)
4(z4),100(z100),107(z107)
4(z4),100(z100),108(z108)
4(z4),100(z100),138(z138)
4(z4),100(z100),155(z155)
4(z4),100(z100),156(z156)
4(z4),100(z100),186(z186)
4(z4),100(z100),382(z382)
4(z4),100(z100),414(z414)
4(z4),100(z100),473(z473)
4(z4),100(z100),510(z510)
4(z4),100(z100),542(o28)
4(z4),101(z101),105(z105)
4(z4),101(z101),106(z106)
4(z4),101(z101),153(z153)
4(z4),101(z101),154(z154)
4(z4),101(z101),185(z185)
4(z4),102(z102),105(z105)
4(z4),102(z102),106(z106)
4(z4),102(z102),153(z153)
4(z4),102(z102),154(z154)
4(z4),102(z102),185(z185)
4(z4),103(z103),105(z105)
4(z4),103(z103),106(z106)
4(z4),103(z103),153(z153)
4(z4),103(z103),154(z154)
4(z4),103(z103),185(z185)
4(z4),105(z105),107(z107)
4(z4),105(z105),108(z108)
4(z4),105(z105),111(z111)
4(z4),105(z105),112(z112)
4(z4),105(z105),135(z135)
4(z4),105(z105),136(z136)
4(z4),105(z105),138(z138)
4(z4),105(z105),140(z140)
4(z4),105(z105),152(z152)
4(z4),105(z105),155(z155)
4(z4),105(z105),156(z156)
4(z4),105(z105),160(z160)
4(z4),105(z105),184(z184)
4(z4),105(z105),186(z186)
4(z4),105(z105),188(z188)
4(z4),105(z105),200(z200)
4(z4),105(z105),204(z204)
4(z4),105(z105),216(z216)
4(z4),105(z105),228(z228)
4(z4),105(z105),240(z240)
4(z4),105(z105),256(z256)
4(z4),105(z105),264(z264)
4(z4),105(z105),272(z272)
4(z4),105(z105),287(z287)
4(z4),105(z105),288(z288)
4(z4),105(z105),294(z294)
4(z4),105(z105),382(z382)
4(z4),105(z105),414(z414)
4(z4),105(z105),473(z473)
4(z4),105(z105),510(z510)
4(z4),105(z105),542(o28)
4(z4),106(z106),107(z107)
4(z4),106(z106),108(z108)
4(z4),106(z106),111(z111)
4(z4),106(z106),112(z112)
4(z4),106(z106),135(z135)
4(z4),106(z106),136(z136)
4(z4),106(z106),138(z138)
4(z4),106(z106),140(z140)
4(z4),106(z106),152(z152)
4(z4),106(z106),155(z155)
4(z4),106(z106),156(z156)
4(z4),106(z106),160(z160)
4(z4),106(z106),184(z184)
4(z4),106(z106),186(z186)
4(z4),106(z106),188(z188)
4(z4),106(z106),200(z200)
4(z4),106(z106),204(z204)
4(z4),106(z106),216(z216)
4(z4),106(z106),228(z228)
4(z4),106(z106),240(z240)
4(z4),106(z106),256(z256)
4(z4),106(z106),264(z264)
4(z4),106(z106),272(z272)
4(z4),106(z106),287(z287)
4(z4),106(z106),288(z288)
4(z4),106(z106),294(z294)
4(z4),106(z106),382(z382)
4(z4),106(z106),414(z414)
4(z4),106(z106),473(z473)
4(z4),106(z106),510(z510)
4(z4),106(z106),542(o28)
4(z4),107(z107),109(z109)
4(z4),107(z107),110(z110)
4(z4),107(z107),133(z133)
4(z4),107(z107),134(z134)
4(z4),107(z107),139(z139)
4(z4),107(z107),153(z153)
4(z4),107(z107),154(z154)
4(z4),107(z107),157(z157)
4(z4),107(z107),181(z181)
4(z4),107(z107),182(z182)
4(z4),107(z107),185(z185)
4(z4),107(z107),187(z187)
4(z4),107(z107),199(z199)
4(z4),107(z107),203(z203)
4(z4),107(z107),214(z214)
4(z4),107(z107),227(z227)
4(z4),107(z107),239(z239)
4(z4),107(z107),254(z254)
4(z4),107(z107),263(z263)
4(z4),107(z107),271(z271)
4(z4),107(z107),286(z286)
4(z4),107(z107),295(z295)
4(z4),108(z108),109(z109)
4(z4),108(z108),110(z110)
4(z4),108(z108),133(z133)
4(z4),108(z108),134(z134)
4(z4),108(z108),139(z139)
4(z4),108(z108),153(z153)
4(z4),108(z108),154(z154)
4(z4),108(z108),157(z157)
4(z4),108(z108),181(z181)
4(z4),108(z108),182(z182)
4(z4),108(z108),185(z185)
4(z4),108(z108),187(z187)
4(z4),108(z108),199(z199)
4(z4),108(z108),203(z203)
4(z4),108(z108),214(z214)
4(z4),108(z108),227(z227)
4(z4),108(z108),239(z239)
4(z4),108(z108),254(z254)
4(z4),108(z108),263(z263)
4(z4),108(z108),271(z271)
4(z4),108(z108),286(z286)
4(z4),108(z108),295(z295)
4(z4),109(z109),138(z138)
4(z4),109(z109),155(z155)
4(z4),109(z109),156(z156)
4(z4),109(z109),186(z186)
4(z4),109(z109),382(z382)
4(z4),109(z109),414(z414)
4(z4),109(z109),473(z473)
4(z4),109(z109),510(z510)
4(z4),109(z109),542(o28)
4(z4),110(z110),138(z138)
4(z4),110(z110),155(z155)
4(z4),110(z110),156(z156)
4(z4),110(z110),186(z186)
4(z4),110(z110),382(z382)
4(z4),110(z110),414(z414)
4(z4),110(z110),473(z473)
4(z4),110(z110),510(z510)
4(z4),110(z110),542(o28)
4(z4),111(z111),153(z153)
4(z4),111(z111),154(z154)
4(z4),111(z111),185(z185)
4(z4),112(z112),153(z153)
4(z4),112(z112),154(z154)
4(z4),112(z112),185(z185)
4(z4),133(z133),138(z138)
4(z4),133(z133),155(z155)
4(z4),133(z133),156(z156)
4(z4),133(z133),186(z186)
4(z4),133(z133),382(z382)
4(z4),133(z133),414(z414)
4(z4),133(z133),473(z473)
4(z4),133(z133),510(z510)
4(z4),133(z133),542(o28)
4(z4),134(z134),138(z138)
4(z4),134(z134),155(z155)
4(z4),134(z134),156(z156)
4(z4),134(z134),186(z186)
4(z4),134(z134),382(z382)
4(z4),134(z134),414(z414)
4(z4),134(z134),473(z473)
4(z4),134(z134),510(z510)
4(z4),134(z134),542(o28)
4(z4),135(z135),153(z153)
4(z4),135(z135),154(z154)
4(z4),135(z135),185(z185)
4(z4),136(z136),153(z153)
4(z4),136(z136),154(z154)
4(z4),136(z136),185(z185)
4(z4),138(z138),139(z139)
4(z4),138(z138),153(z153)
4(z4),138(z138),154(z154)
4(z4),138(z138),157(z157)
4(z4),138(z138),181(z181)
4(z4),138(z138),182(z182)
4(z4),138(z138),185(z185)
4(z4),138(z138),187(z187)
4(z4),138(z138),199(z199)
4(z4),138(z138),203(z203)
4(z4),138(z138),214(z214)
4(z4),138(z138),227(z227)
4(z4),138(z138),239(z239)
4(z4),138(z138),254(z254)
4(z4),138(z138),263(z263)
4(z4),138(z138),271(z271)
4(z4),138(z138),286(z286)
4(z4),138(z138),295(z295)
4(z4),139(z139),155(z155)
4(z4),139(z139),156(z156)
4(z4),139(z139),186(z186)
4(z4),139(z139),382(z382)
4(z4),139(z139),414(z414)
4(z4),139(z139),473(z473)
4(z4),139(z139),510(z510)
4(z4),139(z139),542(o28)
4(z4),140(z140),153(z153)
4(z4),140(z140),154(z154)
4(z4),140(z140),185(z185)
4(z4),152(z152),153(z153)
4(z4),152(z152),154(z154)
4(z4),152(z152),185(z185)
4(z4),153(z153),155(z155)
4(z4),153(z153),156(z156)
4(z4),153(z153),160(z160)
4(z4),153(z153),184(z184)
4(z4),153(z153),186(z186)
4(z4),153(z153),188(z188)
4(z4),153(z153),200(z200)
4(z4),153(z153),204(z204)
4(z4),153(z153),216(z216)
4(z4),153(z153),228(z228)
4(z4),153(z153),240(z240)
4(z4),153(z153),256(z256)
4(z4),153(z153),264(z264)
4(z4),153(z153),272(z272)
4(z4),153(z153),287(z287)
4(z4),153(z153),288(z288)
4(z4),153(z153),294(z294)
4(z4),153(z153),382(z382)
4(z4),153(z153),414(z414)
4(z4),153(z153),473(z473)
4(z4),153(z153),510(z510)
4(z4),153(z153),542(o28)
4(z4),154(z154),155(z155)
4(z4),154(z154),156(z156)
4(z4),154(z154),160(z160)
4(z4),154(z154),184(z184)
4(z4),154(z154),186(z186)
4(z4),154(z154),188(z188)
4(z4),154(z154),200(z200)
4(z4),154(z154),204(z204)
4(z4),154(z154),216(z216)
4(z4),154(z154),228(z228)
4(z4),154(z154),240(z240)
4(z4),154(z154),256(z256)
4(z4),154(z154),264(z264)
4(z4),154(z154),272(z272)
4(z4),154(z154),287(z287)
4(z4),154(z154),288(z288)
4(z4),154(z154),294(z294)
4(z4),154(z154),382(z382)
4(z4),154(z154),414(z414)
4(z4),154(z154),473(z473)
4(z4),154(z154),510(z510)
4(z4),154(z154),542(o28)
4(z4),155(z155),157(z157)
4(z4),155(z155),181(z181)
4(z4),155(z155),182(z182)
4(z4),155(z155),185(z185)
4(z4),155(z155),187(z187)
4(z4),155(z155),199(z199)
4(z4),155(z155),203(z203)
4(z4),155(z155),214(z214)
4(z4),155(z155),227(z227)
4(z4),155(z155),239(z239)
4(z4),155(z155),254(z254)
4(z4),155(z155),263(z263)
4(z4),155(z155),271(z271)
4(z4),155(z155),286(z286)
4(z4),155(z155),295(z295)
4(z4),156(z156),157(z157)
4(z4),156(z156),181(z181)
4(z4),156(z156),182(z182)
4(z4),156(z156),185(z185)
4(z4),156(z156),187(z187)
4(z4),156(z156),199(z199)
4(z4),156(z156),203(z203)
4(z4),156(z156),214(z214)
4(z4),156(z156),227(z227)
4(z4),156(z156),239(z239)
4(z4),156(z156),254(z254)
4(z4),156(z156),263(z263)
4(z4),156(z156),271(z271)
4(z4),156(z156),286(z286)
4(z4),156(z156),295(z295)
